date,year,title,simple_title,artist,main_artist,peak_pos,last_pos,weeks,rank,change,spotify_link,spotify_id,video_link,all_genre,main_genre,broad_genre,album,album_uri,num_songs_on_album,album_type,release_date
11/6/10,2010,Waka Waka (This Time For Africa),waka waka,shakira,shakira,38,0,18,80,Re-Entry,https://embed.spotify.com/?uri=spotify:track:2Cd9iWfcOpGDHLz6tVA3G4,2Cd9iWfcOpGDHLz6tVA3G4,https://embed.vevo.com?partnerId=0bcf11f5-81bc-469a-a74f-b370f19def6e&autoplay=true&isrc=USSM21000872,"[u'colombian pop', u'dance pop', u'latin', u'latin pop', u'mexican pop', u'pop']",[u'pop'],pop,Waka Waka (This Time for Africa) [The Official 2010 FIFA World Cup (TM) Song],spotify:album:3pzQF7YgU1f66pBayA8uHv,1,single,5/7/10
11/6/10,2010,B.M.F. (Blowin' Money Fast),b.m.f.,rick ross,rick ross,60,90,16,92,-2,https://embed.spotify.com/?uri=spotify:track:35QGdv6aFbIaLM0Ozr3rHt,35QGdv6aFbIaLM0Ozr3rHt,,"[u'dirty south rap', u'gangster rap', u'hip hop', u'pop rap', u'rap', u'southern hip hop', u'trap music']",[u'trap music'],rap,Teflon Don,spotify:album:0jipZxGtkTDHjVerLkzO80,11,album,1/1/10
11/6/10,2010,Way Out Here,way out here,josh thompson,josh thompson,85,85,9,85,0,https://embed.spotify.com/?uri=spotify:track:3E9kjnz0hjlCAaNkpDAJLG,3E9kjnz0hjlCAaNkpDAJLG,https://embed.vevo.com?partnerId=0bcf11f5-81bc-469a-a74f-b370f19def6e&autoplay=true&isrc=USGQ41000015,"[u'contemporary country', u'country', u'country road', u'lift kit', u'modern country rock', u'redneck']",[u'redneck'],country,Way Out Here,spotify:album:3Ba07fAhwq2tLy6CrJYnNq,10,album,2/22/10
11/6/10,2010,Speak Now,speak now,taylor swift,taylor swift,8,45,3,86,-41,https://embed.spotify.com/?uri=spotify:track:24DefNCFiWTP8OjYWiXuYe,24DefNCFiWTP8OjYWiXuYe,https://embed.vevo.com?partnerId=0bcf11f5-81bc-469a-a74f-b370f19def6e&autoplay=true&isrc=USCJY1003823,"[u'dance pop', u'pop', u'post-teen pop']",[u'post-teen pop'],pop,Speak Now,spotify:album:5MfAxS5zz8MlfROjGQVXhy,14,album,1/1/10
11/6/10,2010,Gonna Get This,gonna get this,hannah montana,hannah montana,66,0,1,66,New,https://embed.spotify.com/?uri=spotify:track:1y6Y28gA3mNHSs7RDLrDKs,1y6Y28gA3mNHSs7RDLrDKs,,"[u'dance pop', u'pop', u'post-teen pop']",[u'post-teen pop'],pop,Hannah Montana Forever,spotify:album:6FUFS9PRGUTyVrsltg1xji,11,album,1/1/10
11/6/10,2010,The End,the end,kings of leon,kings of leon,82,0,1,82,New,https://embed.spotify.com/?uri=spotify:track:0O53YcPBLyveU0jVYZpUgk,0O53YcPBLyveU0jVYZpUgk,,"[u'garage rock', u'indie rock', u'modern rock', u'rock']",[u'rock'],rock,Come Around Sundown,spotify:album:3GQy3QdRfl7RZUix1rhLtB,13,album,10/19/10
11/6/10,2010,Rap Song,rap song,t-pain,t-pain,89,0,1,89,New,https://embed.spotify.com/?uri=spotify:track:28gIO6msEpMiz8D8uk4zvr,28gIO6msEpMiz8D8uk4zvr,https://embed.vevo.com?partnerId=0bcf11f5-81bc-469a-a74f-b370f19def6e&autoplay=true&isrc=USZM21000100,"[u'dance pop', u'hip hop', u'pop', u'pop rap', u'r&b', u'rap', u'southern hip hop', u'trap music', u'urban contemporary']",[u'urban contemporary'],r&b,Rap Song,spotify:album:79tmaqiHZuk6Ixr7lF4VEN,1,single,10/12/10
10/30/10,2010,Miss Me,miss me,drake,drake,15,62,20,69,-7,https://embed.spotify.com/?uri=spotify:track:1U4mweNwisxNj23ffuC9gO,1U4mweNwisxNj23ffuC9gO,,"[u'canadian hip hop', u'canadian pop', u'hip hop', u'pop rap', u'rap']",[u'rap'],rap,Thank Me Later,spotify:album:6jlrjFR9mJV3jd1IPSplXU,14,album,1/1/10
10/30/10,2010,Your Love,your love,nicki minaj,nicki minaj,14,71,20,81,-10,https://embed.spotify.com/?uri=spotify:track:3bGxiCPouq52ZtI8ybMCX5,3bGxiCPouq52ZtI8ybMCX5,https://embed.vevo.com?partnerId=0bcf11f5-81bc-469a-a74f-b370f19def6e&autoplay=true&isrc=USCMV1000049,"[u'dance pop', u'hip pop', u'pop', u'pop rap']",[u'pop rap'],rap,Pink Friday (Deluxe),spotify:album:51HDsvvActcDmYy7NQl6oL,16,album,1/1/10
10/30/10,2010,Pretty Good At Drinkin' Beer,pretty good at drinkin' beer,billy currington,billy currington,41,78,20,88,-10,https://embed.spotify.com/?uri=spotify:track:7rfW79GVCOEoXP4VsgrBVH,7rfW79GVCOEoXP4VsgrBVH,https://embed.vevo.com?partnerId=0bcf11f5-81bc-469a-a74f-b370f19def6e&autoplay=true&isrc=USUV71001013,"[u'contemporary country', u'country', u'country road', u'modern country rock']",[u'modern country rock'],country,Party Tyme Karaoke - Country Party Pack 4,spotify:album:3f91zDGZbOyWohVgkOtwUG,64,compilation,6/8/18
10/30/10,2010,Little White Church,little white church,little big town,little big town,59,84,20,93,-9,https://embed.spotify.com/?uri=spotify:track:0f73zOCdBx6ZPdiBjwN1AP,0f73zOCdBx6ZPdiBjwN1AP,https://embed.vevo.com?partnerId=0bcf11f5-81bc-469a-a74f-b370f19def6e&autoplay=true&isrc=USCN21000012,"[u'contemporary country', u'country', u'country dawn', u'country road', u'modern country rock']",[u'modern country rock'],country,The Reason Why,spotify:album:2o5oFGiGkykZs6qU6274Af,12,album,8/20/10
